Colon,Colon_value,Cecum,Cecum_value
F-JC-1-1,0.2612147922,F-MC-1-1,0.3650460279
F-JC-10,0.2693224445,F-MC-10,0.3503354702
F-JC-11,0.2798634838,F-MC-11,0.3520797221
F-JC-12,0.2952660351,F-MC-12,0.3546496814
F-JC-13,0.2815836507,F-MC-13,0.3791944882
F-JC-14,0.2667529222,F-MC-14,0.368131472
F-JC-15,0.2646580461,F-MC-15,0.388604989
F-JC-16,0.2625175978,F-MC-16,0.3743481985
F-JC-17,0.2636673057,F-MC-17,0.3844497548
F-JC-18,0.3296592655,F-MC-18,0.3783530795
F-JC-19,0.3247908321,F-MC-19,0.3543405219
F-JC-110,0.306146058,F-MC-110,0.3755328454
F-JC-111,0.3087099957,F-MC-111,0.3860147411
F-JC-112,0.3182053144,F-MC-112,0.3851360431
F-JC-113,0.3219013608,F-MC-113,0.3868268514
S-JC-1-1,0.2728554474,S-MC-1-1,0.3596016475
S-JC-10,0.2608688988,S-MC-10,0.3798273403
S-JC-11,0.2631449074,S-MC-11,0.3656508418
S-JC-12,0.2891374921,S-MC-12,0.3741801601
S-JC-13,0.267952763,S-MC-13,0.3755214413
S-JC-14,0.2687030422,S-MC-14,0.36437817
S-JC-15,0.2787958531,S-MC-15,0.3640199277
S-JC-16,0.2604660872,S-MC-16,0.3708949507
S-JC-17,0.2612022015,S-MC-17,0.3685232441
S-JC-18,0.2645673718,S-MC-18,0.3411398471
S-JC-19,0.2651965486,S-MC-19,0.3681148316
S-JC-110,0.2594245304,S-MC-110,0.3740114932
S-JC-111,0.2791616126,S-MC-111,0.3890273978
S-JC-112,0.2611172824,S-MC-112,0.3619299495
S-JC-113,0.2773539274,S-MC-113,0.3742909945
